gefunden_am,portal,suchbegriff,titel,preis,ort,inserat_datum,url
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,Ziegler 8S CornChampion Maispflücker Mähdrescher Geringhoff Claas,17.580 € VB,33378 Rheda-​Wiedenbrück,20.08.2026,https://www.kleinanzeigen.de/s-anzeige/ziegler-8s-cornchampion-maispfluecker-maehdrescher-geringhoff-claas/3489793299-276-1649
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,"Maispflücker Geringhoff MSH875, 8 reihig",65.390 €,84183 Niederviehbach,17.08.2026,https://www.kleinanzeigen.de/s-anzeige/maispfluecker-geringhoff-msh875-8-reihig/3459363799-276-6050
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,Geringhoff Maispflücker  Claas Lexion 8-75 Horizon Star  16500 €,19.635 €,48231 Warendorf,17.08.2026,https://www.kleinanzeigen.de/s-anzeige/geringhoff-maispfluecker-claas-lexion-8-75-horizon-star-16500-/3357769338-276-1302
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,Geringhoff ROTA-DISC Maispflücker / 300499569,29.631 € VB,39240 Calbe (Saale),16.08.2026,https://www.kleinanzeigen.de/s-anzeige/geringhoff-rota-disc-maispfluecker-300499569/3460849727-276-12369
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,"Geringhoff Horizont Star, 8 rhg., klappbar",54.000 € VB,84329 Wurmannsquick,13.08.2026,https://www.kleinanzeigen.de/s-anzeige/geringhoff-horizont-star-8-rhg-klappbar/3458550921-276-5924
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,Andere Geringhoff Mais Star Horizon 1600B 16 Reihig,77.231 €,77743 Neuried,12.08.2026,https://www.kleinanzeigen.de/s-anzeige/andere-geringhoff-mais-star-horizon-1600b-16-reihig/3483102097-276-8050
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,Andere Geringhoff Mais Star Horizon (MSH 600 F) 6 reihi,34.510 €,77743 Neuried,12.08.2026,https://www.kleinanzeigen.de/s-anzeige/andere-geringhoff-mais-star-horizon-msh-600-f-6-reihi/3483101978-276-8050
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,Geringhoff Mais Pflücker 6 Reiher Rota Disc,9.000 € VB,77933 Lahr (Schwarzwald),12.08.2026,https://www.kleinanzeigen.de/s-anzeige/geringhoff-mais-pfluecker-6-reiher-rota-disc/3482735508-276-8047
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,Geringhoff HORIZON STAR II Mähdrescher Vorsätze / 300403944,63.665 € VB,49716 Meppen,10.08.2026,https://www.kleinanzeigen.de/s-anzeige/geringhoff-horizon-star-ii-maehdrescher-vorsaetze-300403944/3455984613-276-3030
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,Geringhoff HVV 600  vario Schneidwerk,38.700 € VB,84359 Simbach,08.08.2026,https://www.kleinanzeigen.de/s-anzeige/geringhoff-hvv-600-vario-schneidwerk/3479334510-276-5919
2026-08-22T08:02:14Z,eBay Kleinanzeigen,Geringhoff,1 gebr. Geringhoff-Schneidwerk Variostar VS 260 neuwertig z. Zürn,18.875 €,32108 Bad Salzuflen,07.08.2026,https://www.kleinanzeigen.de/s-anzeige/1-gebr-geringhoff-schneidwerk-variostar-vs-260-neuwertig-z-zuern/2975966311-276-1900
2026-08-22T08:24:46Z,eBay Kleinanzeigen,Takeuchi TB 145,"Takeuchi TB 145 NETTO 25500,-",30.600 € VB,94110 Wegscheid,11.08.2026,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-145-netto-25500-/2687999577-276-7467
2026-08-22T08:24:46Z,eBay Kleinanzeigen,Takeuchi TB 145,Takeuchi TB 145,23.999 €,30459 Ricklingen,09.08.2026,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-145/3480863092-276-3192
2026-08-22T08:24:46Z,eBay Kleinanzeigen,Takeuchi TB 145,Takeuchi TB 145 / 153,21.301 € VB,59069 Hamm,07.07.2026,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-145-153/3452941804-276-2026
2026-08-22T08:24:46Z,eBay Kleinanzeigen,Takeuchi TB 145,Takeuchi TB145,15.500 € VB,30459 Ricklingen,26.06.2026,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb145/3444095496-239-3192
2026-08-22T08:24:46Z,eBay Kleinanzeigen,Takeuchi TB 145,Takeuchi TB 145 125 Kabine,160 € VB,83083 Riedering,12.04.2026,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-145-125-kabine/3380283795-276-7583
2026-08-22T08:24:46Z,eBay Kleinanzeigen,Takeuchi TB 145,Takeuchi TB 145 - 245,1 € VB,87487 Wiggensbach,02.09.2025,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-145-245/3177701697-223-7631
2026-08-22T08:24:46Z,eBay Kleinanzeigen,Takeuchi TB 175,Takeuchi TB 175 Minibagger Bagger,27.000 €,72124 Pliezhausen,20.08.2026,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-175-minibagger-bagger/3415133246-276-7988
2026-08-22T08:24:46Z,eBay Kleinanzeigen,Takeuchi TB 175,"Takeuchi TB175 Minibagger, Kettenbagger * Nettopreis 22500€",26.755 €,48619 Heek,16.08.2026,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb175-minibagger-kettenbagger-nettopreis-22500-/2983563737-276-1178
2026-08-22T08:24:46Z,eBay Kleinanzeigen,Takeuchi TB 175,Minibagger Takeuchi TB175 mit HS08 MS08 hydraulisch Hammerleitung,47.481 € VB,58099 Hagen,06.08.2026,https://www.kleinanzeigen.de/s-anzeige/minibagger-takeuchi-tb175-mit-hs08-ms08-hydraulisch-hammerleitung/2064259156-276-2013
2026-08-22T08:31:42Z,Maschinensucher,Takeuchi TB 175,Minibagger Takeuchi TB 175 mit Klima + Powertilt + hydr. Schnellw. + 3,28.999 €,Gnas,,https://www.maschinensucher.de/takeuchi-tb+175+mit+klima+%2B+powertilt+%2B+hydr.+schnellw.+%2B+3/i-22465772
2026-08-22T08:44:24Z,Machinerypark,Takeuchi TB 175,Takeuchi TB175W 3 Buckets!,26.500 EUR,"7609 RL Almelo, Niederlande",,https://de.machinerypark.com/mobilbagger/takeuchi-tb175w-3-buckets-gebraucht-qnar5401cp
2026-08-22T08:44:24Z,Machinerypark,Takeuchi TB 175,Takeuchi TB 175 w,28.400 EUR,"69780 Mions Rhône-Alpes, Frankreich",,https://de.machinerypark.com/mobilbagger/takeuchi-tb-175-w-gebraucht-fwfs1598fn
2026-08-22T08:44:24Z,Machinerypark,Takeuchi TB 175,Takeuchi TB175,21.500 EUR,"2400 MOL, Belgien",,https://de.machinerypark.com/kettenbagger/takeuchi-tb175-gebraucht-dowm2258nq
2026-08-22T08:44:24Z,Machinerypark,Takeuchi TB 175,Takeuchi TB175,20.950 EUR,"2400 MOL, Belgien",,https://de.machinerypark.com/kettenbagger/takeuchi-tb175-gebraucht-creb6461gb
2026-08-22T08:44:24Z,Machinerypark,Takeuchi TB 175,Takeuchi TB 175,38.000 EUR,"9020 Klagenfurt, Österreich",,https://de.machinerypark.com/kettenbagger/takeuchi-tb-175-gebraucht-bmvf5121ec
2026-08-22T08:44:24Z,Machinerypark,Takeuchi TB 175,Takeuchi TB 175,29.500 EUR,"5743 Krimml, Österreich",,https://de.machinerypark.com/kettenbagger/takeuchi-tb-175-gebraucht-ckrk6034jl
2026-08-22T08:44:24Z,Machineryline,Takeuchi TB 175,Takeuchi TB175,22.050 € 95.000 PLN,"Polen, Bonikowo",,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/TB175--26052511011662496900
2026-08-22T08:44:24Z,Machineryline,Takeuchi TB 175,Takeuchi TB175,16.710 € 72.000 PLN,"Polen, Bonikowo",,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/TB175--26052511062687305600
2026-08-22T08:44:24Z,Machineryline,Takeuchi TB 175,Takeuchi TB175W 3 Buckets!,26.500 € Ohne MwSt.,"Niederlande, Almelo",,https://machineryline.de/-/Verkauf/Mobilbagger/Takeuchi/TB175W-3-Buckets--26071317560964309400
2026-08-22T08:44:24Z,Machineryline,Takeuchi TB 175,Takeuchi 7t TB175 powertilt,26.950 € 650.000 CZK,Tschechien,,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/7t-TB175-powertilt--25031800421296819400
2026-08-22T08:44:24Z,Machineryline,Takeuchi TB 175,Takeuchi TB175,24.900 € Ohne MwSt.,"Slowenien, Gomilsko",,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/TB175--26062318425020045800
2026-08-22T08:44:24Z,Machineryline,Takeuchi TB 175,Takeuchi TB175,21.000 €,Rumänien,,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/TB175--25092614513273096200
2026-08-22T08:44:24Z,Machineryline,Takeuchi TB 175,Takeuchi TB175,34.000 €,"Rumänien, Hunedoara",,https://machineryline.de/-/Miete/Midibagger/Takeuchi/TB175--26040115231612940300
2026-08-22T08:44:24Z,Autoline,Takeuchi TB 175,Takeuchi TB175,22.060 € 95.000 PLN,"Polen, Bonikowo",,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/TB175--26052511011662496900
2026-08-22T08:44:24Z,Autoline,Takeuchi TB 175,Takeuchi TB175,16.720 € 72.000 PLN,"Polen, Bonikowo",,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/TB175--26052511062687305600
2026-08-22T08:44:24Z,Autoline,Takeuchi TB 175,Takeuchi TB175W 3 Buckets!,26.500 € Ohne MwSt.,"Niederlande, Almelo",,https://machineryline.de/-/Verkauf/Mobilbagger/Takeuchi/TB175W-3-Buckets--26071317560964309400
2026-08-22T08:44:24Z,Autoline,Takeuchi TB 175,Takeuchi 7t TB175 powertilt,26.860 € 650.000 CZK,Tschechien,,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/7t-TB175-powertilt--25031800421296819400
2026-08-22T08:44:24Z,Autoline,Takeuchi TB 175,Takeuchi TB175,24.900 € Ohne MwSt.,"Slowenien, Gomilsko",,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/TB175--26062318425020045800
2026-08-22T08:44:24Z,Autoline,Takeuchi TB 175,Takeuchi TB175,21.000 €,Rumänien,,https://machineryline.de/-/Verkauf/Midibagger/Takeuchi/TB175--25092614513273096200
2026-08-22T08:44:24Z,Autoline,Takeuchi TB 175,Takeuchi TB175,34.000 €,"Rumänien, Hunedoara",,https://machineryline.de/-/Miete/Midibagger/Takeuchi/TB175--26040115231612940300
2026-08-22T09:12:18Z,eBay Kleinanzeigen,Claas Corio,"Claas Corio 875, 8-75 Maispflücker",26.700 € VB,38179 Schwülper,08.08.2026,https://www.kleinanzeigen.de/s-anzeige/claas-corio-875-8-75-maispfluecker/3404979703-276-2669
2026-08-22T09:12:18Z,eBay Kleinanzeigen,Claas Corio,CLAAS Conspeed 675 FC Corio (Mähdrescherzubehör),47.576 €,84539 Ampfing,29.07.2026,https://www.kleinanzeigen.de/s-anzeige/claas-conspeed-675-fc-corio-maehdrescherzubehoer-/2994670107-276-18318
2026-08-22T09:12:18Z,eBay Kleinanzeigen,Claas Corio,Claas CORIO 875 FC CONSPEED Mähdrescher Zubehör,49.385 €,94424 Arnstorf,25.07.2026,https://www.kleinanzeigen.de/s-anzeige/claas-corio-875-fc-conspeed-maehdrescher-zubehoer/3443542317-276-6038
2026-08-22T09:12:18Z,eBay Kleinanzeigen,Claas Corio,CLAAS Conspeed 675 FC Corio (Mähdrescherzubehör),35.604 €,84539 Ampfing,25.07.2026,https://www.kleinanzeigen.de/s-anzeige/claas-conspeed-675-fc-corio-maehdrescherzubehoer-/3174291148-276-18318
2026-08-22T09:12:18Z,eBay Kleinanzeigen,Claas Corio,"Claas CORIO 8 75 FC CONSPEED, Maispflücker, 8 reiher,",48.999 €,49696 Molbergen,23.04.2026,https://www.kleinanzeigen.de/s-anzeige/claas-corio-8-75-fc-conspeed-maispfluecker-8-reiher-/3389533821-276-17538
2026-08-22T09:34:50Z,tec24,Claas Conspeed,Claas Corio 8-75 Fc Conspeed,59.900 € Netto,49716 Meppen,,https://de.tec24.com/c-20200/m-claas/t-corio-8-75-fc-conspeed/mid-3705783.html
2026-08-22T09:34:50Z,tec24,Claas Conspeed,Claas Corio 875 Fc Conspeed,41.500 € Netto,94424 Arnstorf,,https://de.tec24.com/c-28800/m-claas/t-corio-875-fc-conspeed/mid-3700327.html
2026-08-22T09:34:50Z,tec24,Claas Conspeed,Claas Corio 875 Fc Conspeed,39.900 € Netto,49716 Meppen,,https://de.tec24.com/c-20200/m-claas/t-corio-875-fc-conspeed/mid-3706228.html
2026-08-22T09:34:50Z,tec24,Claas Conspeed,Claas Conspeed 8-75,36.900 € Netto,17094 Pragsdorf,,https://de.tec24.com/c-20200/m-claas/t-conspeed-8-75/mid-3694322.html
2026-08-22T09:34:50Z,tec24,Claas Conspeed,Claas Maispflücker Conspeed 8-75fc,24.500 € Netto,85088 Vohburg,,https://de.tec24.com/c-20200/m-claas/t-maispfluecker-conspeed-8-75fc/mid-3697309.html
2026-08-22T09:34:50Z,tec24,Claas Conspeed,Claas Claas Conspeed 6-75 Fc,15.125 € Netto,49774 Herßum,,https://de.tec24.com/c-20200/m-claas/t-claas-conspeed-6-75-fc/mid-3701205.html
2026-08-22T09:34:50Z,tec24,Claas Conspeed,Claas Claas Conspeed 6-75 Fc,14.990 € Netto,49774 Herßum,,https://de.tec24.com/c-20200/m-claas/t-claas-conspeed-6-75-fc/mid-3706714.html
2026-08-22T09:34:50Z,tec24,Claas Conspeed,Claas Conspeed 6-75 FC,14.900 € Netto,49716 Meppen,,https://de.tec24.com/c-20200/m-claas/t-conspeed-6-75-fc/mid-3703877.html
2026-08-22T09:34:50Z,tec24,Claas Corio,Claas Corio 875,27.500 €,,,https://de.tec24.com/c-20100/m-claas/t-corio-875/mid-3690250.html
2026-08-22T09:34:50Z,tec24,Geringhoff,John Deere T560i Prodrive 30km/H Inkl. Geringhoff Hv6.60,179.000 € Netto,48683 Ahaus-Wüllen,,https://de.tec24.com/c-20100/m-john-deere/t-t560i-prodrive-30km-h-inkl-geringhoff-hv660/mid-3700836.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Rota Disc,74.917 € Netto,,,https://de.tec24.com/c-20200/m-geringhoff/t-rota-disc/mid-3692761.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Mais Star - Horizon ( Msh ) 800 Fb,74.500 € Netto,76684 Östringen,,https://de.tec24.com/c-20200/m-geringhoff/t-mais-star-horizon-msh-800-fb/mid-3702256.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Ms-Horizon 800fb,74.450 € Netto,48480 Spelle,,https://de.tec24.com/c-20200/m-geringhoff/t-ms-horizon-800fb/mid-3706210.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Ms-Horizon 800fb,64.900 € Netto,48480 Spelle,,https://de.tec24.com/c-20200/m-geringhoff/t-ms-horizon-800fb/mid-3703372.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Mais Star - Horizon   600 Fb,57.000 € Netto,76684 Östringen,,https://de.tec24.com/c-20200/m-geringhoff/t-mais-star-horizon-600-fb/mid-3705000.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Horizon Star Ii,53.500 € Netto,49716 Meppen,,https://de.tec24.com/c-20200/m-geringhoff/t-horizon-star-ii/mid-3702454.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Ms Horizon 800fb,32.500 € Netto,48683 Ahaus-Wüllen,,https://de.tec24.com/c-20200/m-geringhoff/t-ms-horizon-800fb/mid-3699446.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Rotadisc 1275 B,24.900 € Netto,17094 Pragsdorf,,https://de.tec24.com/c-20200/m-geringhoff/t-rotadisc-1275-b/mid-3706579.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Rota-Disc,24.900 € Netto,39240 Calbe / Saale,,https://de.tec24.com/c-20200/m-geringhoff/t-rota-disc/mid-3703139.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Rota Disc Rd800fb,23.500 € Netto,17094 Pragsdorf,,https://de.tec24.com/c-20200/m-geringhoff/t-rota-disc-rd800fb/mid-3701082.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Zwischenförderaggregat,19.900 € Netto,48480 Spelle,,https://de.tec24.com/c-28800/m-geringhoff/t-zwischenfoerderaggregat/mid-3706118.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Maisstar Horizont Ii,18.000 € Netto,84329 Wurmannsquick,,https://de.tec24.com/c-20200/m-geringhoff/t-maisstar-horizont-ii/mid-3494294.html
2026-08-22T09:34:50Z,tec24,Geringhoff,"Geringhoff Rota-Disc 800fb, Passend Zum Claas Lexion,",15.800 € Netto,48268 Greven,,https://de.tec24.com/c-20200/m-geringhoff/t-rota-disc-800fb-passend-zum-claas-lexion-/mid-3696908.html
